,업종명,영업자시작일,업소명,소재지지번주소,lat,lng
206,일반음식점,2006-08-30,트뤼포,광주광역시 동구 광산동 60-3 (2층) ,35.1454041,126.9181294
207,일반음식점,2006-09-07,동경모밀,광주광역시 동구 남동 115-5 ,35.1430975,126.9205555
208,일반음식점,2006-09-12,청사초롱,광주광역시 동구 지산동 68 외1필지 (7-3) ,35.1494562,126.9455694
209,일반음식점,2006-09-25,장미,광주광역시 동구 학동 664-12 ,35.1333688,126.9285786
210,일반음식점,2006-10-31,수라상,광주광역시 동구 서석동 42-13 (1층) ,35.1468781,126.9226071
211,일반음식점,2006-11-21,족발공작소,광주광역시 동구 지산동 520-6 ,35.1459438,126.9292643
212,일반음식점,2006-11-23,역전국밥,광주광역시 동구 학동 55-96 ,35.1397855,126.9216395
213,일반음식점,2006-11-23,지원통닭,광주광역시 동구 소태동 622-6 (1층) ,35.1253509,126.9348144
214,일반음식점,2006-11-29,영성원,"광주광역시 동구 서석동 45-9 (1,2층) ",35.1467911,126.9225567
215,일반음식점,2006-12-07,풍성식당,광주광역시 동구 학동 74-7 (1층) ,35.1399013,126.9205768
216,일반음식점,2006-12-15,천하맛일품,광주광역시 동구 금남로5가 61-14 ,35.1522959,126.9110581
217,일반음식점,2006-12-27,꽃단미,광주광역시 동구 지산동 520-6 (2층) ,35.1459438,126.9292643
218,일반음식점,2007-01-05,길거리야,광주광역시 동구 지산동 473-15 (1층) ,35.1456711,126.9300262
219,제과점영업,2007-01-08,던킨도너츠,광주광역시 동구 학동 113-2 (1층) ,35.1421598,126.9205251
220,일반음식점,2007-02-08,소문난쭈꾸미,광주광역시 동구 광산동 60-3 (1층) ,35.1454041,126.9181294
221,일반음식점,2007-03-09,일이삼치킨,광주광역시 동구 계림동 518-15 (1층) ,35.1589753,126.9276546
222,일반음식점,2007-03-09,푸치니,광주광역시 동구 계림동 1111 (1층) ,35.1629255,126.9245349
223,휴게음식점,2007-03-19,올데이 커피,광주광역시 동구 남동 67-1 (1층) ,35.143452,126.921804
224,일반음식점,2007-04-03,진미,광주광역시 동구 서석동 122-3 ,35.1434673,126.9220024
225,일반음식점,2007-04-06,한식애,광주광역시 동구 계림동 284-13 1층 ,35.1573337,126.9199186
226,일반음식점,2007-04-18,강진마을,광주광역시 동구 동명동 118-30 ,35.1464662,126.9279921
227,일반음식점,2007-04-19,진분식,광주광역시 동구 지산동 462-14 1층 ,35.1478495,126.9327555
228,일반음식점,2007-04-24,가보리,광주광역시 동구 대인동 80-1 1층 ,35.1532413,126.9145564
229,일반음식점,2007-05-22,꼭지네,광주광역시 동구 동명동 120-6 (1층) ,35.1462445,126.9276911
230,일반음식점,2007-05-30,금성,광주광역시 동구 동명동 246-1 ,35.1540701,126.9204655
231,일반음식점,2007-05-30,우리푸드시스템,광주광역시 동구 금남로2가 22-2 (15층) ,35.1485091,126.9172861
232,일반음식점,2007-06-12,명사십리,광주광역시 동구 대인동 198-12 ,35.1533469,126.918809
233,일반음식점,2007-06-20,이어도회관,광주광역시 동구 소태동 536-32 외1필지(1층) ,35.1288275,126.9329643
234,일반음식점,2007-07-02,삼희,광주광역시 동구 충장로5가 59-1 (1층) ,35.1508738,126.9118968
235,휴게음식점,2007-07-10,석봉토스트,광주광역시 동구 충장로4가 29-1 (1층) ,35.1489612,126.9135202
236,일반음식점,2007-07-11,보덕화,광주광역시 동구 계림동 471-30 (1층) ,35.1554171,126.9169619
237,일반음식점,2007-07-11,보성녹차돼지,광주광역시 동구 호남동 9-3 (1층) ,35.1485922,126.9116781
238,일반음식점,2007-07-26,대광,광주광역시 동구 대인동 327-5 ,35.1547673,126.9167674
239,일반음식점,2007-08-08,나비야청산가자,광주광역시 동구 운림동 321-1 ,35.1344902,126.952515
240,휴게음식점,2007-10-08,재희다방,광주광역시 동구 대인동 311-6 (2층) ,35.1543427,126.915861
241,일반음식점,2007-10-10,종점그산장,광주광역시 동구 용연동 449-2 ,35.098005,126.9639046
242,일반음식점,2007-11-15,햇빛마을,광주광역시 동구 지산동 447-3 (1층) ,35.148629,126.932629
243,휴게음식점,2007-11-19,커피창고,광주광역시 동구 서석동 41-6 (1층) ,35.1473004,126.9234696
244,일반음식점,2007-12-20,사카나,"광주광역시 동구 학동 872-7 (1,2층) ",35.1321305,126.929014
